Date : 2025-08-04 08:23:00
Directory : c:\Users\BERG\bot-whatsapp-atendimento
Total : 127 files,  31434 codes, 535 comments, 2717 blanks, all 34686 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\resizable.tsx                      | TypeScript JSX     |         50 |          0 |          7 |         57 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\scroll-area.tsx                    | TypeScript JSX     |         53 |          0 |          6 |         59 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\select.tsx                         | TypeScript JSX     |        172 |          0 |         14 |        186 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\separator.tsx                      | TypeScript JSX     |         24 |          0 |          5 |         29 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\sheet.tsx                          | TypeScript JSX     |        126 |          0 |         14 |        140 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\sidebar.tsx                        | TypeScript JSX     |        660 |         12 |         55 |        727 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\skeleton.tsx                       | TypeScript JSX     |         11 |          0 |          3 |         14 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\slider.tsx                         | TypeScript JSX     |         58 |          0 |          6 |         64 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\sonner.tsx                         | TypeScript JSX     |         21 |          0 |          5 |         26 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\switch.tsx                         | TypeScript JSX     |         27 |          0 |          5 |         32 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\table.tsx                          | TypeScript JSX     |        105 |          0 |         12 |        117 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\tabs.tsx                           | TypeScript JSX     |         59 |          0 |          8 |         67 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\textarea.tsx                       | TypeScript JSX     |         15 |          0 |          4 |         19 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\toggle-group.tsx                   | TypeScript JSX     |         66 |          0 |          8 |         74 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\toggle.tsx                         | TypeScript JSX     |         42 |          0 |          6 |         48 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\tooltip.tsx                        | TypeScript JSX     |         54 |          0 |          8 |         62 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\hooks\use-mobile.ts                              | TypeScript         |         15 |          0 |          5 |         20 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\lib\utils.ts                                     | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\BERG\bot-whatsapp-atendimento\tsconfig.json                                        | JSON with Comments |         27 |          0 |          1 |         28 |
| c:\Users\BERG\bot-whatsapp-atendimento\tsconfig.tsbuildinfo                                 | JSON               |          1 |          0 |          0 |          1 |
| Total                                                                                       |                    |     31,434 |        535 |      2,717 |     34,686 |
+---------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
