"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "TypeScript JSX", "PostCSS", "XML", "JavaScript", "YAML", "comment", "blank", "total"
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 7, 67
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\aspect-ratio.tsx", "TypeScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 7, 54
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 6, 47
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 11, 110
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 6, 60
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 6, 94
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 10, 93
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 214, 0, 0, 0, 0, 0, 28, 242
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 315, 0, 0, 0, 0, 2, 37, 354
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\charts.tsx", "TypeScript JSX", 0, 0, 0, 0, 278, 0, 0, 0, 0, 9, 26, 313
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 6, 34
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\command.tsx", "TypeScript JSX", 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 13, 178
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\context-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 234, 0, 0, 0, 0, 0, 19, 253
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 264, 0, 0, 0, 0, 11, 23, 298
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 14, 136
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\drawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 14, 133
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 239, 0, 0, 0, 0, 0, 19, 258
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 143, 0, 0, 0, 0, 0, 25, 168
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\hover-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 7, 45
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\input-otp.tsx", "TypeScript JSX", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 9, 78
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\Users\BERG\bot-whatsapp-atendimento\src\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
